그룹 명,팔로우수(단위:만),인기도,,,
체리필터,2.8,1,,평가표,
브로콜리너마저,2.9,1,,0-10만,1
신인류,3,1,,10만-25만,2
장범준,4.5,1,,25만-40만,3
라쿠나,4.7,1,,40만-100만,4
쏜애플,5.4,1,,100만-250만,5
김승민,6.1,1,,250만-1000만,6
소수빈,7.6,1,,1000만-,7
오반,8,1,,,
재하,8.4,1,,,
터치드,8.9,1,,,
데이먼스 이어,10.1,2,,,
케이윌,10.1,2,,,
정승환,13.6,2,,,
윤미래,16.7,2,,,
최유리,20.6,2,,,
박혜원,20.8,2,,,
나우아임영,22.5,2,,,
실리카겔,22.6,2,,,
토일,24.6,2,,,
볼빨간사춘기,26.2,3,,,
적재,26.3,3,,,
에픽하이 투컷,26.6,3,,,
검정치마,26.8,3,,,
dkz,28,3,,,
루시,28.8,3,,,
윤하,31.8,3,,,
하이키,32.1,3,,,
혁오,32.5,3,,,
멜로망스,33.6,3,,,
카더가든,34.7,3,,,
하이라이트,36.1,3,,,
한로로,40.5,4,,,
이무진,40.6,4,,,
리센느,40.9,4,,,
엔플라잉,41.7,4,,,
라잇썸,46.3,4,,,
잔나비,49.1,4,,,
closeyoureyes,54.6,4,,,
빅톤,57.4,4,,,
82major,58.1,4,,,
구구단,59.5,4,,,
악동뮤지션,62.2,4,,,
딘딘,62.2,4,,,
성시경,68,4,,,
애쉬 아이랜드,69.4,4,,,
더보이즈,80.8,4,,,
기리보이,84.4,4,,,
서동현,84.7,4,,,
비투비,86.2,4,,,
exid,86.3,4,,,
에이핑크,105,5,,,
ph-1,107,5,,,
한승우,111,5,,,
양요섭,115,5,,,
kickflip,126.8,5,,,
싸이커스,136.2,5,,,
김재환,156,5,,,
딘,183,5,,,
프로미스나인,183,5,,,
loco,195.3,5,,,
스테이씨,204,5,,,
헤이즈,213,5,,,
이즈나,219,5,,,
알드원,225,5,,,
워너원,275,6,,,
gray,280,6,,,
데이식스,281.8,6,,,
kiss of life,302.5,6,,,
피원하모니,307,6,,,
여자친구,323,6,,,
투어스,346,6,,,
박재범,381,6,,,
엔시티위시,381.9,6,,,
보이넥스트도어,445.1,6,,,
제로베이스원,472,6,,,
하투하,478,6,,,
라이즈,505,6,,,
샤이니,550,6,,,
엔믹스,611,6,,,
아일릿,671,6,,,
아이브,683.8,6,,,
박지훈,757,6,,,
베이비몬스터,973,6,,,
르세라핌,1045,7,,,
엑소,1076,7,,,
에이티즈,1110,7,,,
레드벨벳,1147,7,,,
코르티스,1243,7,,,
엔시티드림,1312,7,,,
세븐틴,1616,7,,,
에스파,1643,7,,,
투바투,1824,7,,,
엔하이픈,2191,7,,,
지드래곤,2449,7,,,
twice,2997,7,,,
스트레이키즈,3305,7,,,
아이유,3379,7,,,
블랙핑크,5795,7,,,